id,title_romaji,title_english,average_score,genres,start_year,status,chapters,volumes,staff_names
85412,Shoujo Shuumatsu Ryokou,Girls' Last Tour,86,"Adventure, Sci-Fi, Slice of Life",2014,FINISHED,47.0,6.0,"Tsukumizu, Amanda Haley, Abigail Blackman, Florent Gorges, Gabriela Takahashi"
119247,Uma Musume: Cinderella Gray,,86,"Drama, Sports",2020,RELEASING,,,"Yousuke Kabashima, Pierre Sugiura, Taiyou Kuzumi"
94970,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,Classroom of the Elite,86,"Drama, Psychological, Slice of Life, Thriller",2015,FINISHED,110.0,14.0,"Shunsaku Tomose, Shougo Kinugasa, Chatkhwan Adisai, Renita, Aurélie Brun, Timothy MacKenzie"
31133,Dorohedoro,Dorohedoro,86,"Action, Adventure, Comedy, Fantasy, Horror, Mystery",2000,FINISHED,191.0,23.0,"Q Hayashida, Sylvain Chollet, Anne Demars, Gabriel Álvarez Martínez, Matt Alt, Hiroko Yoda, Dariusz Latoś, Sascha Mandler"
130080,Bungou Stray Dogs: STORM BRINGER,Bungo Stray Dogs: Storm Bringer,86,"Action, Drama, Mystery, Supernatural",2021,FINISHED,6.0,1.0,"Kafka Asagiri, Harukawa35, Matthew Rutsohn"
39982,Usogui,,86,"Action, Psychological, Thriller",2006,FINISHED,539.0,49.0,Toshio Sako
30145,BECK,BECK,86,"Comedy, Drama, Music, Romance, Slice of Life",2000,FINISHED,103.0,34.0,"Harold Sakuishi, John K. Pe-Ta, Chikara Sakuma, SP Nakatema , Nobuyuki Manaka, Diógenes Dih"
115166,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: 2-nensei-hen,Classroom of the Elite: Year 2,86,"Drama, Psychological, Thriller",2020,FINISHED,130.0,15.0,"Shunsaku Tomose, Shougo Kinugasa, Chatkhwan Adisai, Timothy MacKenzie"
109285,Skip to Loafer,Skip and Loafer,86,"Comedy, Romance, Slice of Life",2018,RELEASING,,,"Misaki Takamatsu, Nicole Frasik, Christine Minutoli, Vanessa Satone, Lucas dos Santos Cabral"
54875,Shinyaku Toaru Majutsu no Index,A Certain Magical Index NT,86,"Action, Comedy, Fantasy, Sci-Fi",2011,FINISHED,183.0,23.0,"Kazuma Kamachi, Kiyotaka Haimura, Alice Prowse"
44483,Uchuu Kyoudai,Space Brothers,86,"Sci-Fi, Slice of Life",2007,RELEASING,,46.0,"Chuuya Koyama, Adam Lensenmayer, William Flanagan, Christine Dashiell, Christian Biscaro, Ernesto Cellie, Laura Wyrick, Baldassarre Minopoli, Teishirou, Phuong, Jiaxiang Xu"
119257,Jeonjijeok Dokja Sijeom,Omniscient Reader,86,"Action, Adventure, Fantasy",2020,RELEASING,,,"Singsyong, Sleepy-C, UMI, Geomnem, Jessica Walther"
