manga_id,title_romaji,sales_circulation,title_english,title_native,format,popularity,average_score,start_date,end_date,status,chapters,volumes,sales_source
34632,Oyasumi Punpun,"3,000,000",Goodnight Punpun,おやすみプンプン,MANGA,167898,88,3/15/07,11/2/13,FINISHED,147,13,https://en.wikipedia.org/wiki/Goodnight_Punpun
31224,3-gatsu no Lion,"3,000,000",March Comes in Like a Lion,3月のライオン,MANGA,31558,88,7/13/07,,RELEASING,0,0,https://en.wikipedia.org/wiki/March_Comes_In_like_a_Lion
118586,Sousou no Frieren,"30,000,000",Frieren: Beyond Journey’s End,葬送のフリーレン,MANGA,74246,87,4/28/20,,RELEASING,0,0,
30021,DEATH NOTE,"30,000,000.00",Death Note,DEATH NOTE,MANGA,91099,84,12/1/03,5/15/06,FINISHED,108,12,https://en.wikipedia.org/wiki/Death_Note
86082,Dungeon Meshi,"315,298",Delicious in Dungeon,ダンジョン飯,MANGA,48131,88,2/15/14,9/15/23,FINISHED,111,14,https://en.wikipedia.org/wiki/Delicious_in_Dungeon
105778,Chainsaw Man,"32,000,000.00",Chainsaw Man,チェンソーマン,MANGA,298727,85,12/3/18,,RELEASING,0,0,https://en.wikipedia.org/wiki/Chainsaw_Man
74347,One Punch-Man,"34,000,000.00",One-Punch Man,ワンパンマン,MANGA,160360,85,6/14/12,,RELEASING,0,0,https://en.wikipedia.org/wiki/One-Punch_Man
143838,Kubishime Romanticist: Ningen Shikkaku - Zerozaki Hitoshiki,"36,000,000",Strangulation: Kubishime Romanticist,クビシメロマンチスト　人間失格・零崎人識,NOVEL,3098,87,5/8/02,5/8/02,FINISHED,9,1,https://en.wikipedia.org/wiki/Nisio_Isin
30003,20 Seiki Shounen,"36,000,000",20th Century Boys,20世紀少年,MANGA,96329,88,9/27/99,4/24/06,FINISHED,249,22,https://en.wikipedia.org/wiki/20th_Century_Boys
108556,SPY×FAMILY,"38,000,000.00",SPY x FAMILY,SPY×FAMILY,MANGA,148951,83,3/25/19,,RELEASING,0,0,https://en.wikipedia.org/wiki/Spy_%C3%97_Family
74489,Houseki no Kuni,"4,000,000",Land of the Lustrous,宝石の国,MANGA,72775,89,10/25/12,4/25/24,FINISHED,108,13,https://en.wikipedia.org/wiki/Land_of_the_Lustrous
87423,Yakusoku no Neverland,"42,000,000.00",The Promised Neverland,約束のネバーランド,MANGA,125618,79,8/1/16,6/15/20,FINISHED,181,20,https://en.wikipedia.org/wiki/The_Promised_Neverland
72451,Horimiya,"43,735.00",Horimiya,ホリミヤ,MANGA,114996,82,10/18/11,7/18/23,FINISHED,152,17,https://en.wikipedia.org/wiki/Horimiya
30104,Yotsuba to!,"450,000",Yotsuba&!,よつばと！,MANGA,58331,88,3/21/03,,RELEASING,0,0,https://en.wikipedia.org/wiki/Yotsuba%26!
63327,Tokyo Ghoul,"47,000,000.00",Tokyo Ghoul,東京喰種 トーキョーグール,MANGA,176635,84,9/22/11,9/18/14,FINISHED,144,14,https://en.wikipedia.org/wiki/Tokyo_Ghoul
85611,Tokyo Ghoul:re,"47,000,000.00",Tokyo Ghoul:re,東京喰種-トーキョーグール-:re,MANGA,93634,83,10/16/14,7/5/18,FINISHED,181,16,https://en.wikipedia.org/wiki/Tokyo_Ghoul:re_(TV_series)
140475,Kaoru Hana wa Rin to Saku,"5,000,000",The Fragrant Flower Blooms With Dignity,薫る花は凛と咲く,MANGA,64145,88,10/21/21,,RELEASING,0,0,https://en.wikipedia.org/wiki/The_Fragrant_Flower_Blooms_with_Dignity
