manga_id,title_romaji,title_english,title_native,format,popularity,average_score,start_date,end_date,status,chapters,volumes
106867,Shinai naru Boku e Satsui wo Komete,My Dearest Self With Malice Aforethought,親愛なる僕へ殺意をこめて,MANGA,27206,81,2018-05-07,2020-09-07,FINISHED,98.0,11.0
106888,Persona 5: Mementos Mission,Persona 5: Mementos Mission,ペルソナ5 メメントスミッション,MANGA,1671,77,2018-10-26,2020-06-27,FINISHED,19.0,3.0
106929,Eleceed,Eleceed,일렉시드,MANGA,38811,85,2018-10-02,,RELEASING,0.0,0.0
107098,Shuumatsu no Valkyrie,Record of Ragnarok,終末のワルキューレ,MANGA,63039,78,2017-11-25,,RELEASING,0.0,0.0
107112,Shiro Seijo to Kuro Bokushi,Saint Cecilia and Pastor Lawrence,白聖女と黒牧師,MANGA,4376,77,2017-04-20,,RELEASING,0.0,0.0
107207,"Kashikomarimashita, Destiny: Answer",Not Recorded,かしこまりました、デスティニー ~Answer~,MANGA,889,79,2016-10-24,2017-03-24,FINISHED,8.0,2.0
107237,Blue Period,Blue Period,ブルーピリオド,MANGA,71761,86,2017-06-24,,RELEASING,0.0,0.0
107254,WALK ON WATER,Walk on Water,WALK ON WATER,MANGA,5620,78,2018-06-20,2020-06-10,FINISHED,64.0,0.0
107279,Aoashi,Aoashi,アオアシ,MANGA,22072,86,2015-01-05,2025-06-23,FINISHED,410.0,40.0
107321,WonDance,Wandance,ワンダンス,MANGA,7527,78,2019-01-17,,RELEASING,0.0,0.0
107416,Doukyuusei: Gold Ring & Silver Ring,Not Recorded,同級生 限定小冊子【gold ring】 & 【silver ring】,MANGA,3215,79,2016-11-05,2016-11-05,FINISHED,2.0,1.0
107462,Machikado Mazoku,The Demon Girl Next Door,まちカドまぞく,MANGA,6040,81,2014-06-28,,RELEASING,0.0,0.0
107518,Shinma Gyeongcheongi,Heavenly Demon Reborn!,신마경천기,MANGA,15992,77,2018-08-14,2025-01-08,FINISHED,252.0,0.0
107521,Eoneu Nal Gongjuga Doeeobeoryeotda,Who Made Me a Princess,어느 날 공주가 되어버렸다,MANGA,35066,83,2017-12-20,,RELEASING,0.0,9.0
107790,Ningen Shikkaku,No Longer Human,人間失格,MANGA,12639,77,2017-05-02,2018-04-20,FINISHED,24.0,3.0
107987,Sasayaku You ni Koi wo Utau,Whisper Me a Love Song,ささやくように恋を唄う,MANGA,26183,80,2019-02-18,,RELEASING,0.0,0.0
108027,Hirano to Kagiura,Hirano and Kagiura,平野と鍵浦,MANGA,6911,83,2019-03-15,,RELEASING,0.0,0.0
108141,Koi ga Ochitara,Not Recorded,恋が落ちたら,MANGA,1987,79,2017-01-31,2018-10-25,FINISHED,6.0,1.0
108196,My Home Hero,My Home Hero,マイホームヒーロー,MANGA,15856,78,2017-05-29,2024-07-29,FINISHED,224.0,26.0
108251,"Umarekawattemo Mata, Watashi to Kekkon Shitekuremasu ka",Not Recorded,生まれ変わってもまた、私と結婚してくれますか,MANGA,13263,84,2017-10-20,2019-09-20,FINISHED,25.0,4.0
108427,Devil May Cry 5: Visions of V,Not Recorded,Devil May Cry 5 - Visions of V -,MANGA,2074,79,2019-03-08,2022-03-19,FINISHED,35.0,5.0
108428,Kage no Jitsuryokusha ni Naritakute!,The Eminence in Shadow,陰の実力者になりたくて！,NOVEL,9714,83,2018-11-05,,RELEASING,0.0,0.0
108551,Mystery to Iunakare,Don't Call it Mystery,ミステリと言う勿れ,MANGA,6350,83,2017-11-28,,RELEASING,0.0,0.0
108556,SPY×FAMILY,SPY x FAMILY,SPY×FAMILY,MANGA,148951,83,2019-03-25,,RELEASING,0.0,0.0
108659,Rumspringa no Joukei,The Scene of My Rumspringa,ラムスプリンガの情景,MANGA,1809,80,2017-02-27,2017-11-30,FINISHED,5.0,1.0
108695,Ore ga Watashi ni Naru made,Not Recorded,オレが私になるまで,MANGA,2481,77,2019-03-26,,RELEASING,0.0,0.0
108919,Kaketa Tsuki to Doughnuts,Doughnuts Under a Crescent Moon,欠けた月とドーナッツ,MANGA,12345,77,2019-03-18,2022-05-18,FINISHED,20.0,4.0
108946,30-sai made Doutei da to Mahou Tsukai ni Nareru Rashii,Cherry Magic! Thirty Years of Virginity Can Make You a Wizard?!,30歳まで童貞だと魔法使いになれるらしい,MANGA,5450,80,2018-01-26,,RELEASING,0.0,0.0
108952,Dwaejiuri,PIGPEN,돼지우리,MANGA,15396,79,2019-03-09,2020-06-13,FINISHED,68.0,0.0
109017,Mahou Shoujo ni Akogarete,Gushing over Magical Girls,魔法少女にあこがれて,MANGA,15205,77,2019-01-30,,RELEASING,0.0,0.0
109064,Karasugaoka Don't be shy!!,Crow Hill: Don’t Be Shy!!,烏ヶ丘 Don't be shy!!,MANGA,5898,78,2018-06-01,2020-04-05,FINISHED,12.0,2.0
109121,Violet Evergarden Gaiden,Not Recorded,ヴァイオレット・エヴァーガーデン 外伝,NOVEL,1700,77,2018-03-23,2018-03-23,FINISHED,6.0,1.0
109206,Watashi no Oshi wa Akuyaku Reijou.,I’m in Love with the Villainess,私の推しは悪役令嬢。,NOVEL,7196,83,2019-02-26,2021-08-26,FINISHED,30.0,5.0
109285,Skip to Loafer,Skip and Loafer,スキップとローファー,MANGA,29138,86,2018-08-25,,RELEASING,0.0,0.0
109302,Adachi to Shimamura,Adachi and Shimamura,安達としまむら,MANGA,8023,78,2019-05-27,,RELEASING,0.0,0.0
109384,Cong Huang Yan Kai Shi,Not Recorded,从谎言开始,MANGA,4618,78,2019-03-29,2020-06-04,FINISHED,66.0,0.0
109398,Yeonui Pyeonji,Your Letter,연의 편지,MANGA,9535,80,2018-08-11,2018-10-14,FINISHED,10.0,1.0
109455,Houkago Shounen Hanako-kun,After-school Hanako-kun,放課後少年花子くん,MANGA,4815,80,2018-02-22,,RELEASING,0.0,0.0
109501,Yamada-kun to Lv999 no Koi wo Suru,My Love Story with Yamada-kun at Lv999,山田くんとLv999の恋をする,MANGA,33580,81,2019-03-07,,RELEASING,0.0,0.0
109608,Dark Gathering,Dark Gathering,ダークギャザリング,MANGA,6829,78,2019-03-04,,RELEASING,0.0,0.0
109710,Yuri de Naru♥Espoir,Yuri Espoir,ゆりでなる♥えすぽわーる,MANGA,2142,77,2019-03-20,,RELEASING,0.0,0.0
109921,Kieta Hatsukoi,My Love Mix-Up!,消えた初恋,MANGA,13448,83,2019-06-13,2022-06-13,FINISHED,41.0,9.0
109957,Dubeon Saneun Ranker,Second Life Ranker,두번사는랭커,MANGA,40424,77,2019-05-16,,RELEASING,0.0,0.0
110084,Stigmata: Aikon,Stigmata -Love Bites-,スティグマタ-愛痕-,MANGA,1245,77,2019-03-25,2021-01-25,FINISHED,12.0,2.0
110095,Sanae Matseon,A Business Proposal,사내 맞선,MANGA,11433,79,2018-09-18,2022-07-10,FINISHED,124.0,10.0
110140,Futari Ashita mo Sorenari ni,"It Takes Two Tomorrow, Too",ふたり明日もそれなりに,MANGA,16811,78,2019-05-10,2021-04-23,FINISHED,92.0,5.0
110159,Ponkotsu Ponko,Not Recorded,ぽんこつポン子,MANGA,7206,80,2019-03-25,2021-05-24,FINISHED,79.0,10.0
110393,Asper Kanojo,That's My Atypical Girl,アスペル・カノジョ,MANGA,10931,78,2018-03-06,2021-01-26,FINISHED,123.0,12.0
110439,Uchi no Musuko wa Tabun Gay,I Think Our Son Is Gay,うちの息子はたぶんゲイ,MANGA,8775,77,2018-11-02,2022-12-19,FINISHED,104.0,5.0
110473,Kimi wa Houkago Insomnia,Insomniacs After School,君は放課後インソムニア,MANGA,28776,83,2019-05-20,2023-08-21,FINISHED,125.0,14.0
110530,"Ichido dake demo, Koukai Shitemasu.",I Can't Believe I Slept With You!,一度だけでも、後悔してます。,MANGA,11931,77,2019-06-27,2021-02-26,FINISHED,20.0,3.0
110539,One Room Angel,One Room Angel,ワンルームエンジェル,MANGA,5174,80,2017-10-25,2018-12-25,FINISHED,8.0,1.0
110605,Simhaesu,Leviathan,심해수,MANGA,16853,81,2018-03-12,2025-08-06,FINISHED,115.0,9.0
110683,"Shokei Shoujo no Virgin Road: Soshite, Kanojo wa Yomigaeru",The Executioner and Her Way of Life,処刑少女の生きる道 ―そして、彼女は甦る―,NOVEL,3066,85,2019-07-12,2025-03-15,FINISHED,0.0,11.0
110720,Grace Gildeul-igi,Getting to Know Grace,그레이스 길들이기,MANGA,4238,78,2019-01-30,2020-04-30,FINISHED,46.0,0.0
110800,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen Dai 2-bu - Shinden no Miko Minarai,Ascendance of a Bookworm: Part 2,本好きの下剋上~司書になるためには手段を選んでいられません~ 第二部「神殿の巫女見習い」,NOVEL,2547,85,2015-09-25,2016-06-10,FINISHED,105.0,4.0
