manga_id,genre
31075,Sci-Fi
167422,Action
167422,Comedy
145592,Mystery
145592,Psychological
145592,Sci-Fi
145592,Slice of Life
145592,Supernatural
122060,Comedy
122060,Drama
122060,Romance
111075,Drama
111075,Fantasy
111075,Romance
110605,Action
110605,Adventure
110605,Fantasy
39699,Drama
39699,Romance
39699,Slice of Life
39548,Drama
39548,Horror
39548,Mystery
39548,Psychological
34423,Drama
34423,Romance
34423,Slice of Life
31320,Action
31320,Adventure
31320,Drama
30106,Adventure
30106,Comedy
30106,Fantasy
30106,Mahou Shoujo
30106,Romance
30029,Drama
30029,Romance
120440,Comedy
120440,Drama
120440,Romance
120440,Slice of Life
111233,Comedy
111233,Psychological
111233,Romance
111233,Slice of Life
111233,Supernatural
99923,Comedy
99923,Romance
99923,Slice of Life
85162,Action
85162,Adventure
85162,Comedy
85162,Fantasy
85162,Romance
78621,Drama
48161,Action
48161,Adventure
48161,Romance
44790,Action
44790,Adventure
44790,Drama
44790,Fantasy
30661,Comedy
30024,Action
30024,Adventure
30024,Fantasy
146238,Comedy
146238,Fantasy
146238,Mystery
146238,Romance
143099,Drama
143099,Fantasy
143099,Mystery
143099,Romance
120535,Drama
120535,Romance
120535,Slice of Life
104780,Drama
104780,Psychological
98689,Drama
98689,Fantasy
98689,Romance
73921,Action
73921,Adventure
73921,Fantasy
73921,Romance
73921,Sci-Fi
72001,Action
72001,Adventure
72001,Drama
66131,Action
66131,Comedy
66131,Ecchi
66131,Fantasy
66131,Mahou Shoujo
58449,Action
58449,Drama
58449,Romance
47910,Drama
47910,Psychological
46816,Action
46816,Drama
46816,Romance
46816,Supernatural
39711,Comedy
39711,Drama
39711,Romance
39711,Slice of Life
38070,Action
38070,Adventure
38070,Romance
172619,Action
172619,Fantasy
165881,Comedy
165881,Drama
165881,Mystery
165881,Psychological
165881,Romance
165881,Supernatural
147972,Sports
141013,Drama
141013,Fantasy
141013,Romance
112484,Romance
107462,Comedy
107462,Mahou Shoujo
107462,Slice of Life
87232,Action
87232,Adventure
54705,Drama
54705,Psychological
54705,Romance
46922,Comedy
46922,Drama
46922,Romance
46922,Slice of Life
37776,Action
37776,Comedy
37776,Sci-Fi
31014,Comedy
31014,Drama
31014,Romance
31014,Sports
155471,Drama
155471,Romance
132182,Drama
132182,Romance
132182,Slice of Life
132182,Sports
113350,Romance
113350,Sports
33866,Action
33866,Fantasy
33866,Mystery
33866,Supernatural
32921,Comedy
32921,Romance
30375,Action
30375,Drama
30375,Sports
146656,Drama
146656,Romance
144866,Drama
125167,Comedy
125167,Romance
105332,Comedy
105332,Ecchi
105332,Romance
105332,Slice of Life
98416,Action
98416,Adventure
98416,Comedy
98416,Sci-Fi
85165,Drama
85165,Psychological
38652,Drama
38652,Psychological
31469,Drama
31469,Romance
30149,Action
30149,Drama
30149,Horror
30149,Psychological
30149,Sci-Fi
145166,Comedy
145166,Psychological
145166,Romance
145166,Supernatural
124639,Drama
124639,Music
124639,Romance
122063,Action
122063,Adventure
122063,Comedy
122063,Fantasy
122063,Sci-Fi
114003,Drama
114003,Romance
114003,Slice of Life
112709,Action
112709,Adventure
112709,Fantasy
109501,Comedy
109501,Drama
109501,Romance
99757,Drama
99757,Slice of Life
86279,Action
86279,Comedy
86279,Romance
85435,Drama
85435,Fantasy
85435,Romance
85435,Slice of Life
85435,Supernatural
78399,Adventure
78399,Comedy
78399,Ecchi
78399,Fantasy
69883,Action
69883,Comedy
69883,Sci-Fi
69883,Supernatural
52651,Action
52651,Comedy
52651,Drama
52651,Romance
40552,Action
40552,Comedy
40552,Drama
40552,Psychological
40552,Supernatural
32924,Adventure
32924,Drama
32924,Psychological
31600,Drama
30768,Action
30768,Sci-Fi
30583,Action
30583,Adventure
30583,Fantasy
30583,Horror
30419,Comedy
30419,Music
30419,Romance
30419,Slice of Life
168727,Comedy
168727,Drama
168727,Slice of Life
168656,Drama
168656,Romance
129791,Comedy
129791,Romance
129791,Slice of Life
125095,Romance
118269,Comedy
118269,Drama
118269,Romance
118269,Slice of Life
114329,Drama
114329,Romance
114329,Slice of Life
113981,Action
113981,Comedy
113981,Fantasy
113981,Supernatural
106758,Action
106758,Comedy
106758,Fantasy
98587,Drama
98587,Mystery
98587,Psychological
98587,Romance
98587,Slice of Life
41593,Comedy
41593,Slice of Life
33731,Drama
33731,Music
33731,Slice of Life
31262,Drama
31262,Horror
31262,Mystery
31262,Psychological
145159,Comedy
145159,Psychological
145159,Romance
145159,Supernatural
143840,Drama
143840,Mystery
143840,Psychological
125828,Action
125828,Comedy
109398,Adventure
109398,Drama
109398,Mystery
108946,Comedy
108946,Romance
108946,Slice of Life
108946,Supernatural
99140,Drama
99140,Psychological
99140,Slice of Life
85413,Comedy
85413,Slice of Life
35651,Action
31695,Drama
31695,Mystery
31695,Romance
31297,Drama
31297,Psychological
30031,Comedy
30031,Drama
30031,Romance
170400,Action
170400,Adventure
170400,Fantasy
163824,Action
163824,Fantasy
156303,Comedy
156303,Romance
100355,Comedy
100355,Mystery
100355,Psychological
100355,Supernatural
100109,Action
100109,Adventure
100109,Drama
100109,Fantasy
86481,Comedy
86481,Romance
86481,Slice of Life
31315,Horror
31315,Mystery
31315,Psychological
30481,Drama
30481,Psychological
30481,Sci-Fi
30481,Slice of Life
30018,Comedy
30018,Drama
30018,Romance
30018,Slice of Life
30009,Action
30009,Adventure
30009,Drama
30009,Fantasy
30009,Romance
153726,Drama
153726,Fantasy
153726,Romance
145268,Drama
145268,Horror
145268,Psychological
145268,Supernatural
130904,Drama
130904,Psychological
130904,Romance
108659,Drama
108659,Romance
108659,Slice of Life
97100,Action
97100,Fantasy
97100,Horror
97100,Romance
97100,Supernatural
97100,Thriller
87459,Drama
87459,Ecchi
87459,Psychological
87459,Slice of Life
86720,Action
86720,Adventure
86720,Comedy
86720,Fantasy
86365,Action
86365,Adventure
86365,Drama
86365,Fantasy
78025,Action
78025,Adventure
78025,Fantasy
69325,Drama
69325,Mystery
69325,Psychological
69325,Supernatural
69325,Thriller
34453,Adventure
34453,Fantasy
34453,Slice of Life
33574,Drama
33574,Psychological
33574,Thriller
31263,Drama
31263,Horror
31263,Mystery
31263,Psychological
30320,Comedy
30320,Drama
30320,Fantasy
30320,Mystery
30320,Romance
30320,Supernatural
144946,Action
144946,Drama
144946,Fantasy
143721,Comedy
143721,Drama
143721,Mystery
143721,Psychological
143721,Supernatural
138363,Comedy
138363,Drama
138363,Fantasy
138363,Romance
138196,Drama
138196,Romance
129210,Drama
129210,Fantasy
129210,Horror
129210,Psychological
129210,Romance
128642,Comedy
128642,Romance
110159,Comedy
110159,Sci-Fi
110159,Slice of Life
47552,Comedy
47552,Slice of Life
44720,Action
44720,Comedy
44720,Drama
44720,Romance
44720,Slice of Life
41734,Drama
41734,Music
41734,Psychological
41734,Romance
41734,Slice of Life
31032,Adventure
31032,Comedy
31032,Sci-Fi
30838,Action
30838,Comedy
30838,Romance
147149,Comedy
147149,Romance
147149,Slice of Life
141756,Comedy
141756,Fantasy
141756,Romance
103807,Adventure
103807,Comedy
103807,Fantasy
103807,Psychological
103807,Slice of Life
102989,Action
102989,Drama
102989,Mystery
102989,Supernatural
102989,Thriller
101517,Action
101517,Drama
101517,Supernatural
93006,Comedy
93006,Drama
93006,Slice of Life
87401,Comedy
87401,Slice of Life
87401,Supernatural
72867,Comedy
72867,Sci-Fi
72867,Slice of Life
44568,Action
44568,Comedy
44568,Slice of Life
44236,Romance
44236,Slice of Life
33064,Drama
33064,Psychological
30908,Action
30908,Adventure
30908,Comedy
30908,Fantasy
30908,Supernatural
30729,Romance
30729,Slice of Life
30445,Action
30445,Comedy
30445,Drama
30445,Ecchi
30445,Romance
143764,Comedy
143764,Drama
143764,Mystery
143764,Supernatural
131769,Hentai
131769,Romance
131769,Slice of Life
96754,Drama
96754,Romance
96754,Slice of Life
86579,Comedy
86579,Fantasy
86579,Supernatural
79865,Action
79865,Horror
79865,Mystery
79865,Psychological
79865,Supernatural
70761,Drama
70761,Fantasy
70761,Romance
70761,Slice of Life
43271,Action
43271,Drama
38586,Action
38586,Comedy
38586,Drama
30053,Action
30053,Comedy
30053,Drama
30053,Romance
30053,Supernatural
145157,Comedy
145157,Psychological
145157,Romance
145157,Supernatural
135083,Action
135083,Comedy
135083,Drama
128963,Fantasy
128963,Horror
128963,Supernatural
126297,Action
126297,Drama
125025,Drama
125025,Romance
125025,Slice of Life
123154,Romance
123154,Slice of Life
101942,Adventure
101942,Drama
101942,Mystery
99458,Drama
99458,Romance
99458,Slice of Life
97830,Adventure
97830,Drama
97830,Fantasy
97830,Psychological
97830,Supernatural
96581,Drama
96581,Romance
96581,Sci-Fi
79835,Comedy
79835,Slice of Life
67523,Comedy
67523,Mecha
67523,Romance
67523,Sci-Fi
56144,Comedy
56144,Slice of Life
31474,Action
31474,Adventure
