manga_id,title_romaji,sales_circulation,title_english,title_native,format,popularity,average_score,start_date,end_date,status,chapters,volumes,sales_source
30001,MONSTER,"128,000,000.00",Monster,MONSTER,MANGA,96925,91,12/5/94,12/20/01,FINISHED,162,18,https://en.wikipedia.org/wiki/Monster
30003,20 Seiki Shounen,"36,000,000.00",20th Century Boys,20世紀少年,MANGA,96329,88,9/27/99,4/24/06,FINISHED,249,22,https://en.wikipedia.org/wiki/20th_Century_Boys
65243,Haikyuu!!,"70,000,000.00",Haikyu!!,ハイキュー！！,MANGA,95411,89,2/20/12,7/20/20,FINISHED,404,45,https://en.wikipedia.org/wiki/Haikyu!!
85611,Tokyo Ghoul:re,"47,000,000.00",Tokyo Ghoul:re,東京喰種-トーキョーグール-:re,MANGA,93634,83,10/16/14,7/5/18,FINISHED,181,16,https://en.wikipedia.org/wiki/Tokyo_Ghoul:re_(TV_series)
31706,JoJo no Kimyou na Bouken: Steel Ball Run,,JoJo's Bizarre Adventure: Part 7–Steel Ball Run,ジョジョの奇妙な冒険 スティール・ボール・ラン,MANGA,93405,92,1/19/04,4/19/11,FINISHED,95,24,https://en.wikipedia.org/wiki/Steel_Ball_Run
85143,Sinui Tap,,Tower of God,신의 탑,MANGA,92815,81,6/30/10,,RELEASING,0,0,https://en.wikipedia.org/wiki/Tower_of_God
87170,Fire Punch,,Fire Punch,ファイアパンチ,MANGA,92192,79,4/18/16,1/1/18,FINISHED,83,8,https://en.wikipedia.org/wiki/Fire_Punch
30011,NARUTO,"250,000,000.00",Naruto,NARUTO -ナルト-,MANGA,91214,79,9/21/99,11/10/14,FINISHED,700,72,https://en.wikipedia.org/wiki/Naruto
30021,DEATH NOTE,"30,000,000.00",Death Note,DEATH NOTE,MANGA,91099,84,12/1/03,5/15/06,FINISHED,108,12,https://en.wikipedia.org/wiki/Death_Note
100994,Jigokuraku,"1,000,000.00",Hell’s Paradise: Jigokuraku,地獄楽,MANGA,88903,81,1/23/18,1/25/21,FINISHED,127,13,https://en.wikipedia.org/wiki/Hell%27s_Paradise:_Jigokuraku
101583,Sono Bisque Doll wa Koi wo Suru,"15,000,000.00",My Dress-Up Darling,その着せ替え人形は恋をする,MANGA,87570,79,1/19/18,7/4/25,FINISHED,119,15,https://en.wikipedia.org/wiki/My_Dress-Up_Darling
85135,Koe no Katachi,,A Silent Voice,聲の形,MANGA,84498,87,8/7/13,11/19/14,FINISHED,64,7,https://en.wikipedia.org/wiki/A_Silent_Voice_(film)
98416,Dr. STONE,"19,000,000.00",Dr. STONE,Dr.STONE,MANGA,82867,81,3/6/17,4/4/24,FINISHED,236,27,https://en.wikipedia.org/wiki/Dr._Stone
30436,Uzumaki,784.00,Uzumaki: Spiral into Horror,うずまき,MANGA,81448,79,1/19/98,8/30/99,FINISHED,20,3,https://en.wikipedia.org/wiki/Uzumaki
31133,Dorohedoro,,Dorohedoro,ドロヘドロ,MANGA,80514,86,12/30/00,9/12/18,FINISHED,191,23,https://en.wikipedia.org/wiki/Dorohedoro
125828,SAKAMOTO DAYS,"15,000,000.00",Sakamoto Days,SAKAMOTO DAYS,MANGA,79754,80,11/21/20,,RELEASING,0,0,https://en.wikipedia.org/wiki/Sakamoto_Days
97553,"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.",,"I sold my life for 10,000 yen per year ",寿命を買い取ってもらった。一年につき、一万円で。,MANGA,76166,86,8/10/16,10/25/17,FINISHED,18,3,
118586,Sousou no Frieren,"30,000,000.00",Frieren: Beyond Journey’s End,葬送のフリーレン,MANGA,74246,87,4/28/20,,RELEASING,0,0,
30025,Hagane no Renkinjutsushi,"80,000,000.00",Fullmetal Alchemist,鋼の錬金術師,MANGA,72924,89,7/12/01,6/11/10,FINISHED,116,27,https://en.wikipedia.org/wiki/Fullmetal_Alchemist
74489,Houseki no Kuni,"4,000,000.00",Land of the Lustrous,宝石の国,MANGA,72775,89,10/25/12,4/25/24,FINISHED,108,13,https://en.wikipedia.org/wiki/Land_of_the_Lustrous
146983,Sayonara Eri,"1,000,000.00","Goodbye, Eri",さよなら絵梨,ONE_SHOT,72038,85,4/11/22,4/11/22,FINISHED,1,1,"https://en.wikipedia.org/wiki/Goodbye,_Eri"
107237,Blue Period,"8,000,000.00",Blue Period,ブルーピリオド,MANGA,71761,86,6/24/17,,RELEASING,0,0,https://en.wikipedia.org/wiki/Picasso%27s_Blue_Period
86964,Hurejasik,,Bastard,후레자식,MANGA,71023,83,7/4/14,3/20/17,FINISHED,94,5,
33009,JoJo no Kimyou na Bouken: Stone Ocean,"120,000,000.00",JoJo's Bizarre Adventure Part 6: Stone Ocean,ジョジョの奇妙な冒険 ストーンオーシャン,MANGA,68539,82,12/7/99,2/26/03,FINISHED,158,17,https://en.wikipedia.org/wiki/JoJo%27s_Bizarre_Adventure:_Stone_Ocean
46765,Kingdom,"120,000,000.00",Kingdom,キングダム,MANGA,68191,89,1/26/06,,RELEASING,0,0,
